match id,dataset_type,winner_id
9250275,r1,118
9262189,r1,36084
9128776,r1,30435
9586919,r1,33942
9128538,r1,30421
9516653,r1,30407
9516534,r1,30414
9085474,r1,6698
9433752,r1,8182
9516359,r1,30435
9262133,r1,33949
9782086,r1,272
9271807,r1,47529
9644102,r1,48
9256386,r1,48
9272773,r1,33935
9433850,r1,6698
9615073,r1,20
9262035,r1,33963
9262252,r1,36084
9128363,r1,48341
9085292,r1,10366
9272444,r1,33928
9457538,r1,33956
9433108,r1,8182
9516674,r1,30414
9684506,r1,48341
9167927,r1,237
9433885,r1,8987
9433899,r1,7608
9087147,r1,62
9457664,r1,47529
9097395,r1,33935
9271800,r1,47529
9087042,r1,27
9457510,r1,47529
9085040,r1,9967
9085418,r1,10576
9331398,r1,12634
9272507,r1,33956
9225376,r1,48
9516338,r1,30421
9440493,r1,55
9457447,r1,47529
9077011,r1,40298
9085355,r1,7258
9076997,r1,33956
9587136,r1,33935
8887801,r1,33928
9684667,r1,12634
9330789,r1,12634
9098844,r1,188
9331335,r1,12046
9085187,r1,7258
9051104,r1,40578
9271730,r1,47529
9051048,r1,40578
9407782,r1,48341
9272542,r1,33928
9377339,r1,55
8950780,r1,34
9290917,r1,55
9084655,r1,6698
9516569,r1,30414
9085215,r1,6698
9292569,r1,55
9272738,r1,33935
9331216,r1,14454
9128356,r1,30393
9516807,r1,48334
9377318,r1,48
9084613,r1,7608
9330705,r1,12046
9717518,r1,55
9433535,r1,7608
9692451,r1,55
9489451,r1,46759
9272549,r1,33935
9539718,r1,62
9516779,r1,30414
8887780,r1,33914
9220070,r1,188
9407733,r1,48733
9076822,r1,33963
9051097,r1,44904
9484593,r1,40578
9128426,r1,30393
9085278,r1,7608
9271695,r1,47529
9684051,r1,12634
9516443,r1,30414
9085327,r1,8182
9128552,r1,48341
9076983,r1,33921
9084956,r1,8917
9725764,r1,55
9433157,r1,7727
9457482,r1,33956
9097178,r1,216
9085362,r1,10576
9097185,r1,216
9457419,r1,33956
9684786,r1,12046
9272493,r1,33935
9272703,r1,33921
9388511,r1,18360
9262231,r1,36070
9087168,r1,27
9087210,r1,55
9433178,r1,7608
9051195,r1,40578
9433150,r1,8182
9128496,r1,30421
8938341,r1,20
9084662,r1,9876
9128398,r1,35790
9457608,r1,33935
9097269,r1,23750
9440563,r1,55
9457377,r1,33942
9087091,r1,20
9272388,r1,33914
9680222,r1,47508
9272682,r1,33949
9077039,r1,40298
9586961,r1,33921
9344313,r1,33935
9051160,r1,44904
9250394,r1,118
9331377,r1,14860
9849650,r1,216
9725778,r1,55
9225383,r1,48
9516429,r1,30435
9344383,r1,33935
9702748,r1,33935
9094399,r1,46780
9331055,r1,11220
9076871,r1,33963
9290959,r1,55
9330922,r1,11283
9128629,r1,48334
9051202,r1,40550
9407705,r1,48950
9388392,r1,17744
9152359,r1,48
9271779,r1,47529
9433549,r1,8182
9433255,r1,10366
9272605,r1,33935
9085271,r1,7258
9489367,r1,48341
9516401,r1,45072
9290931,r1,55
9516737,r1,30435
8887745,r1,33914
9027444,r1,17653
9457426,r1,33956
9407635,r1,48341
9263078,r1,293
9516625,r1,30435
9087112,r1,55
9388525,r1,17653
9087007,r1,48
9680194,r1,47508
9330677,r1,11283
9087140,r1,55
9592477,r1,48341
9388497,r1,17583
9051076,r1,44904
9077004,r1,33963
9076843,r1,33956
9684702,r1,48341
8844338,r1,20
9680243,r1,49657
9516513,r1,35790
9327555,r1,216
9094322,r1,46759
9085110,r1,10366
9084788,r1,8917
9150147,r1,216
9076976,r1,33949
8938411,r1,41
9262147,r1,33949
9027437,r1,17982
9097241,r1,33942
9680236,r1,49657
9657101,r1,237
9615087,r1,41
9272514,r1,33935
9459820,r1,188
9684408,r1,12473
9639118,r1,188
9516583,r1,35790
9433801,r1,8987
9330579,r1,30393
9176327,r1,55
9250289,r1,216
9433283,r1,10366
9433192,r1,7608
9051041,r1,40606
9262084,r1,33921
9484705,r1,44904
9457475,r1,33956
9830757,r1,237
9272458,r1,33949
9539725,r1,62
9684359,r1,14454
9263085,r1,293
9094266,r1,46759
9250324,r1,216
9587101,r1,33942
9433248,r1,8917
9094315,r1,46780
9128615,r1,30435
9094217,r1,46759
9094350,r1,46780
9094357,r1,48334
9388490,r1,17982
9087231,r1,48
9344362,r1,33928
9484649,r1,44904
9085397,r1,7608
9084767,r1,8182
9128741,r1,30414
9344355,r1,33935
9433486,r1,7258
9094238,r1,41656
9433346,r1,8987
9484698,r1,40578
9680278,r1,49657
9084879,r1,8056
9084921,r1,7608
9489332,r1,46731
9051125,r1,40606
9749690,r1,272
9167934,r1,237
9272745,r1,33956
9484607,r1,40578
9097409,r1,33935
9097283,r1,33935
9094420,r1,46752
9433094,r1,8182
9272626,r1,33914
9256554,r1,55
9484621,r1,40578
9484523,r1,41656
9094413,r1,46759
9299359,r1,216
9516562,r1,30414
9151071,r1,27
8887794,r1,33921
9084578,r1,8301
9128727,r1,30421
9051069,r1,44904
9272598,r1,33928
9516450,r1,30414
9097374,r1,33935
9586989,r1,33921
9084802,r1,7258
9250352,r1,216
9344306,r1,33935
9262161,r1,33935
9684674,r1,14454
9702776,r1,33921
8950773,r1,55
9094371,r1,46759
9440500,r1,55
9085173,r1,7573
8887752,r1,33928
9272472,r1,33928
9331181,train,12634
8797060,train,20
9433269,train,10576
9587073,train,36084
9516457,train,48341
9457412,train,33956
9292548,train,55
9271758,train,47501
9331048,train,12634
9123162,train,55
9516415,train,30414
9592470,train,30435
9128510,train,36014
9085222,train,8182
9085320,train,10618
9516632,train,30393
9272689,train,33956
9639125,train,188
9433696,train,7727
9657059,train,251
9457468,train,40298
9866373,train,18570
9680264,train,47508
9352356,train,20
9433598,train,8917
9432989,train,10366
9027381,train,17653
9271765,train,47480
9076815,train,42573
9331097,train,12046
9290966,train,55
9051055,train,44904
9272437,train,33914
9489444,train,46752
9176320,train,48
9388483,train,17744
9290609,train,20
9407614,train,48929
9823057,train,237
9516730,train,30435
9692472,train,55
9027262,train,17583
9433878,train,9876
9433640,train,8987
9085089,train,7258
9272724,train,33956
9407719,train,48950
9085299,train,8987
9680285,train,47508
9457685,train,33935
9085117,train,8301
9407670,train,48922
9433647,train,6698
8950822,train,34
9433542,train,6698
9484565,train,40578
9249162,train,300
9684450,train,12718
9027451,train,17982
9085243,train,10618
9087238,train,62
9097367,train,23750
9457454,train,40298
9433388,train,9701
9076878,train,47529
9344418,train,23750
9084599,train,7573
9327534,train,251
9051181,train,44904
9087259,train,20
9128517,train,48334
9085348,train,7258
8844331,train,27
9668539,train,55
9457671,train,33935
9094406,train,46731
9084571,train,9701
9433206,train,7258
9087119,train,62
9262042,train,36098
9097325,train,22497
9097479,train,237
9087028,train,216
9077018,train,40424
9489388,train,46731
9516373,train,30414
9433164,train,9701
9084739,train,9876
9516422,train,30400
9330719,train,15497
9702783,train,33949
9084676,train,10366
9290903,train,55
9717504,train,188
9684429,train,11591
9433059,train,7727
9484481,train,40606
9407663,train,48950
9592463,train,30414
9128594,train,48334
9094392,train,46759
9407649,train,48936
8844324,train,27
9516352,train,48334
9684485,train,14454
9085229,train,10366
9433626,train,8056
9407656,train,48943
9457559,train,40298
9457622,train,33935
9076920,train,42573
9085019,train,10576
9128545,train,30428
9702699,train,33956
9668553,train,55
9084669,train,6698
9331391,train,11591
9684534,train,12046
9128461,train,30393
9085369,train,7258
9222394,train,27
9433493,train,10366
9272717,train,33921
9094252,train,46731
9516821,train,48341
9457636,train,40298
9657122,train,251
9272661,train,33942
9516786,train,30428
9250373,train,118
9433591,train,9701
8887661,train,33935
9262119,train,36112
9684576,train,13166
9330733,train,14629
9128678,train,30393
9407684,train,48929
9272451,train,33956
9516604,train,48341
9051244,train,40606
9027423,train,17744
9484642,train,40578
9433857,train,7608
9087182,train,20
9433619,train,10366
9433465,train,8056
9856748,train,216
9388378,train,18570
8950843,train,55
9128391,train,30400
9657038,train,251
9489479,train,46766
9680215,train,49657
9516688,train,48341
9128636,train,48341
9680159,train,47501
9587045,train,36084
9433892,train,7727
9433332,train,9876
9084844,train,10576
9128454,train,36014
9433738,train,8056
9087252,train,62
9516639,train,30421
9407600,train,48733
9097038,train,769
9344271,train,22497
9272633,train,33921
9587017,train,36084
9489353,train,46759
9407824,train,48929
9128531,train,30428
9433437,train,7258
9086986,train,118
9433185,train,10366
9290616,train,20
9433339,train,10576
9793818,train,293
9250401,train,76
9250387,train,28594
9489318,train,46766
9128503,train,48341
9684177,train,11591
9407607,train,48922
8887864,train,33949
9301991,train,146
8887885,train,33914
9097297,train,23869
9702671,train,33921
9489402,train,46738
9085383,train,8301
9438274,train,76
9484544,train,40606
9097073,train,237
9272409,train,33935
9128573,train,30414
9433528,train,8182
9085236,train,7258
9592484,train,30414
9516597,train,48334
9433444,train,9701
9084781,train,9967
9407698,train,48929
9388406,train,18360
9587024,train,36112
9085264,train,7727
9097437,train,22497
9849713,train,251
9290910,train,293
9433304,train,8182
9352363,train,48
8887787,train,33956
9097255,train,23750
9516758,train,30414
9185399,train,30393
9327492,train,1490
9085054,train,8056
9702706,train,33921
9085467,train,8182
9377325,train,48
9085411,train,8182
9433577,train,8917
9457391,train,40452
9128489,train,30414
9388476,train,17982
9457615,train,40298
9331167,train,12473
9094329,train,46766
9262140,train,36126
9331356,train,14454
9684233,train,14454
9085488,train,7727
9085096,train,9701
9681531,train,216
9657080,train,251
9849755,train,251
9830750,train,76
9250303,train,90
9085180,train,8182
9150140,train,293
8797053,train,41
9433780,train,8700
9725750,train,55
9388427,train,18570
9051111,train,40592
9407628,train,48733
9150154,train,216
9128664,train,30400
9085439,train,6698
9087021,train,202
9076899,train,47529
9433199,train,10618
9344292,train,23750
9433745,train,8917
9084984,train,9701
9713206,train,55
9433675,train,10576
9484712,train,40606
9085495,train,7727
9097108,train,237
9516660,train,30400
8938355,train,20
9087217,train,27
9256393,train,48
9299345,train,237
9085131,train,6698
9087084,train,27
9262021,train,36098
9377248,train,34
9077025,train,47529
9407789,train,48936
9680306,train,49657
9684800,train,13957
9076969,train,33956
9457545,train,35790
9433906,train,9701
9290938,train,69
9152352,train,48
9084837,train,8917
9087063,train,55
9587066,train,35790
8887857,train,33956
9433710,train,8182
9128713,train,30393
9680271,train,49650
9433612,train,10576
9051209,train,44904
9271723,train,47487
9489339,train,46759
9085145,train,9876
9262182,train,36070
9290623,train,20
9438288,train,76
9097276,train,23113
9433479,train,8301
9407754,train,48936
9123225,train,34
9330551,train,11283
8887689,train,33935
9516541,train,48341
9084648,train,8917
9085075,train,9876
9262238,train,36098
9702720,train,33914
9097360,train,22763
8887843,train,33935
9094301,train,46759
9128762,train,30400
9262091,train,36070
9725771,train,55
9085334,train,7727
9084823,train,9876
8887899,train,33935
9433871,train,7258
9084886,train,10366
9085208,train,7258
9128482,train,36014
9084683,train,8182
9457552,train,47529
9176635,train,293
9290924,train,69
9076857,train,40298
9084585,train,10366
9076962,train,40424
9272423,train,33942
9433605,train,9876
9503885,train,293
9084942,train,8917
9087245,train,55
9094231,train,46731
9484495,train,40606
9087014,train,69
9027416,train,17982
9433556,train,7727
9222387,train,27
9516709,train,30393
8887829,train,33949
9272528,train,33956
9433024,train,8301
9220063,train,41
9084914,train,10618
9084830,train,8182
9272668,train,33928
9097346,train,22497
9644116,train,48
9331300,train,12634
9344376,train,23869
9587031,train,36126
9433570,train,7573
9433325,train,9701
9433864,train,8987
9327499,train,958
9516471,train,30393
9484530,train,40564
9087266,train,20
9457405,train,33935
9128783,train,30421
9516366,train,30393
9087189,train,118
9516590,train,30428
9344327,train,23750
9503878,train,202
9262245,train,36098
9433913,train,9701
9433003,train,7727
9271646,train,47501
9344285,train,22763
9330915,train,14860
9866345,train,17982
9084711,train,7727
9076885,train,33935
9539732,train,62
9433227,train,7573
9084746,train,7258
9097416,train,23750
9614989,train,27
9076906,train,40452
9051083,train,40550
9489458,train,46752
9262168,train,36070
9433311,train,8301
9684296,train,15413
9128524,train,30393
