match id,team1,team1_id,team2,team2_id,toss winner,toss decision,venue,city,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,dataset_type
9250275,48,28594,104,90,104,1,11,13,0,49,1,3226,0.0,0.0196078431372549,0.0,0.0,0.0,r1
9262189,29,36084,40,36098,40,1,59,70,2,11,1,13915,0.6153846153846154,0.3442622950819672,151.28571428571428,66.67,153.5,r1
9128776,89,30428,50,48334,82,0,8,58,2,18,1,2764,0.8421052631578947,0.7530864197530864,171.06666666666666,100.0,179.625,r1
9586919,45,36098,91,36112,92,1,23,38,2,11,3,11892,0.2857142857142857,1.4878048780487805,166.0,75.0,155.5,r1
9128538,14,30414,31,48341,31,1,46,71,2,18,1,18752,2.375,0.3103295404167282,169.93333333333334,0.0,164.125,r1
9516653,82,30407,55,30435,57,1,57,20,2,18,3,7118,0.4,0.6721311475409836,177.06666666666666,50.0,184.5,r1
9516534,94,36014,11,30414,12,1,45,23,2,18,3,2050,0.6818181818181818,0.3442622950819672,183.46666666666667,25.0,156.35,r1
9085474,95,9701,18,6698,19,1,81,81,2,50,1,1042,3.2,0.6039603960396039,163.06666666666666,0.0,177.32142857142858,r1
9433752,37,7727,29,7573,30,1,82,76,1,50,3,8301,2.4285714285714284,2.9047619047619047,167.0,100.0,151.6,r1
9516359,89,30428,88,36014,89,1,67,42,1,18,3,13880,1.7272727272727273,21.0,171.06666666666666,66.67,186.5,r1
9262133,45,36098,90,38814,91,1,61,68,0,11,1,1469,1.7142857142857142,1.4878048780487805,168.8,66.67,134.0,r1
9782086,105,202,69,272,103,0,91,32,2,48,3,20502,1.5,1.9523809523809523,157.33333333333334,0.0,140.5,r1
9271807,17,47487,39,47501,39,1,63,26,2,20,2,7041,0.6,0.5061728395061729,158.2,0.0,132.0,r1
9644102,77,48,103,202,103,1,22,33,2,29,3,17086,3.4,1.4878048780487805,176.06666666666666,0.0,144.93333333333334,r1
9256386,8,188,75,62,6,0,38,25,0,33,2,664,0.4444444444444444,0.024390243902439,140.53333333333333,0.0,156.63333333333333,r1
9272773,6,33921,96,33963,96,1,80,78,2,5,2,20782,0.9090909090909092,2.9047619047619047,155.13333333333333,50.0,133.41666666666666,r1
9433850,107,10576,18,6698,106,0,18,29,0,50,3,769,0.6666666666666666,1.0,178.46666666666667,50.0,167.65,r1
9615073,111,41,22,20,22,1,53,77,0,13,4,7930,0.9230769230769232,2.9047619047619047,169.6,60.0,159.4,r1
9262035,96,38814,9,36070,10,1,89,5,2,11,1,4045,0.4,1.4878048780487805,165.3846153846154,100.0,157.56666666666666,r1
9262252,12,36070,40,36098,10,0,59,70,2,11,1,13915,0.8333333333333334,1.3278688524590163,152.33333333333334,66.67,152.85714285714286,r1
9128363,59,48334,31,48341,31,1,88,58,2,18,1,5004,2.75,1.0,0.0,0.0,164.33333333333334,r1
9085292,9,10366,105,10576,106,1,26,9,1,50,1,1161,0.75,2.9047619047619047,160.66666666666666,33.33,146.23333333333332,r1
9272444,6,33921,52,33942,5,0,30,37,2,5,2,3961,0.6363636363636364,0.024390243902439,160.8,60.0,137.14285714285714,r1
9457538,20,40452,44,42573,45,1,70,30,2,6,2,14188,0.7142857142857143,1.0,153.88888888888889,50.0,149.5,r1
9433108,33,7573,89,9701,90,1,81,81,1,50,3,1042,0.7142857142857143,0.5061728395061729,159.4,0.0,170.46666666666667,r1
9516674,64,30435,11,30414,12,1,45,23,1,18,3,2050,0.7,1.0,167.0,25.0,160.36363636363637,r1
9684506,2,45926,25,12389,3,0,39,73,1,36,4,18038,0.0,0.0476190476190476,143.75,0.0,167.57142857142858,r1
9167927,69,209,102,251,102,1,85,84,0,45,1,11885,2.0,21.0,141.88888888888889,100.0,127.5,r1
9433885,71,8987,89,9701,64,0,81,81,1,50,3,1042,0.9090909090909092,1.0,164.13333333333333,0.0,167.5,r1
9433899,37,7727,23,7258,23,1,26,9,0,50,3,1161,1.0,1.975609756097561,157.46666666666667,80.0,166.26666666666668,r1
9087147,8,188,111,76,6,0,6,11,0,52,2,1476,0.8,0.2079207920792079,146.06666666666666,50.0,163.875,r1
9457664,28,47529,44,42573,24,0,70,30,2,6,2,14188,2.0,61.0,167.26666666666668,100.0,148.6,r1
9097395,102,23750,62,23316,65,1,75,67,0,10,0,1224,3.0,61.0,143.125,0.0,144.0,r1
9271800,54,47480,14,47487,15,1,63,26,2,20,2,7041,1.1428571428571428,1.4878048780487805,148.33333333333334,50.0,132.0,r1
9087042,77,48,0,27,0,1,79,78,2,24,2,937,1.0555555555555556,1.975609756097561,166.66666666666666,40.0,154.71428571428572,r1
